2;1;118;ESCUELA EP N°44;AMEGHINO 3065;389;9;12
2;1;118;ESCUELA EP N°43/ES N°6;MADRE ISABEL FERNANDEZ 1347;389;13;18
2;1;118;COLEGIO SAN CARLOS BORROMEO;ESTRADA 745;389;31;33
2;1;118;COLEGIO NTRA.SRA.DEL CARMEN;NTRA.SRA.DEL CARMEN 2366;389;34;37
2;1;118;ESC.ABIERTA LA CASA DEL SOL EP ES;CHILE 1246;389;19;27
2;1;118;SIEMBRA ESC.COMUNIC.Y LENGUAJE;COLON 1214;389;28;30
2;1;118;ESCUELA EP N°14/ES N°11;A.WILLIAMS 1350;390;38;46
2;1;118;COLEGIO NTRA.SRA.DE LOURDES;AV.LA PLATA 3851;390;55;63
2;1;118;ESCUELA EP N°6/ES N°15;ALMAFUERTE 3390;390;64;72
2;1;118;ESCUELA EP N°46/ANEXO ES N°15;ASAMBLEA N°4025;390;73;81
2;1;118;INSTITUTO SANTA TERESITA;BONIFACINI 4079;390;82;87
2;1;118;ESCUELA EST N°1;NICARAGUA 3516;390;47;54
2;1;118;ESCUELA EP N°11/ES N°14;ANGEL PINI 5256;391;88;98
2;1;118;ESCUELA EP N°12/EEM N°3;A.FERREYRA 2679;391;99;117
2;1;118;INSTITUTO PRIVADO CARDOSO;WENCESLAO DE TATA N°463;391;136;139
2;1;118;ESCUELA EP N°5/ES N°1 ANEXO;LARRALDE 1521;391;140;149
2;1;118;INSTITUTO EVANGELICO AMERICANO;BELGRANO 4720;391;118;123
2;1;118;ESCUELA EP N°15;SERRANO 2775;391;156;161
2;1;118;ESCUELA EP N°1/ES N°1;W.DE TATA 4930;391;162;174
2;1;118;ESCUELA EP N°8/ES N°20;C.TEJEDOR 4543;391;175;180
2;1;118;ESCUELA EP N°9/ES N°16;M.MORENO 5766;391;181;192
2;1;118;INST.NTRA.SRA.DE LA MERCED;NTRA.SRA.DE LA MERCED 4624;391;201;206
2;1;118;ESCUELA EP N°45/SB N°15;URQUIZA N°4694;391;207;221
2;1;118;ESCUELA EP N°47/ES N°12;PERU 1104;391;222;230
2;1;118;COLEGIO CRISTO REY;FRAY J.S.M.DE ORO 4760;391;231;237
2;1;118;CENTRO DE EDUC.FISICA N°123;L.DE LA TORRE 3855;391;238;242
2;1;118;ESCUELA EP N°4/ES N°24;PUAN 4851;391;243;248
2;1;118;ESCUELA EP N°49;QUINTANA 2271;391;249;259
2;1;118;ESCUELA EP N°48;VOLCAN DOMUYO 4514;391;260;268
2;1;118;COLEGIO PARROQ.SAN FCO.JAVIER;PRESBITERO R.PAZELLI 3368;391;269;278
2;1;118;COLEGIO CEFERINO NAMUNCURA;OLAVARRIA 3061;391;279;281
2;1;118;INSTITUTO ABATE JOSE REY;JUAN B.ALBERDI 5051;391;282;283
2;1;118;COLEGIO PADRE V.GROSSI;PUAN 4066;391;284;289
2;1;118;ESCUELA ES N°8/EP N°2;URQUIZA 4417;391;124;135
2;1;118;COLEGIO DEL CENTRO;ANDRES FERREIRA 2744;391;290;292
2;1;118;ESCUELA EP N°7;J SPANDONARI 3369;391;293;298
2;1;118;INSTITUTO JOSE INGENIEROS;ESQUIU 5230;391;299;303
2;1;118;INST.SUP.FORM.DOC.Y TEC.N°185;PARODI 4056;391;304;307
2;1;118;ESCUELA ES N°22;ESCULTOR PARODI 5517;391;308;310
2;1;118;ESCUELA ES N°37/EP N°15;SERRANO 2775;391;150;155
2;1;118;CTRO.FORMAC.LABORAL ARCO IRIS;CASEROS 2756;391;197;200
2;1;118;INST.SUP.DE PERIODISMO DEPORT.;DR.A.SABATTINI 4991;391;193;196
2;1;118;ESCUELA EP N°23/ES N°5;JOSE INGENIEROS 1605;392;311;321
2;1;118;COLEGIO RELIGIOSO SANTA MARIA;EJERCITO DE LOS ANDES 1398;392;322;325
2;1;118;ESCUELA EP N°26/ES N°20;BARRAGAN 773;392;326;332
2;1;118;ESCUELA EP N°3;GARCIA LORCA 2768;392;333;338
2;1;118;ESCUELA EP N°32;NOLTING 3421;393;339;345
2;1;118;ESCUELA EP N°31;SAN MARTIN 440;393;346;353
2;1;118;ESCUELA EP N°27;TRES LOMAS 514;393;354;359
2;1;118;COLEGIO INMACULADA CONCEPCION;MAIPU 3737;393;360;372
2;1;118;ESCUELA EP N°20/ES N°26;LAPRIDA 4720;393;380;391
2;1;118;ESCUELA EP N°29;PADRE ELIZALDE 102;393;395;402
2;1;118;COLEGIO SAN ANTONIO DE PADUA;GENERAL ROCA 3460;393;403;412
2;1;118;ESCUELA EP N°25;9 DE JULIO 1950;393;413;418
2;1;118;INSTITUTO AGUSTIN ELIZALDE;25 DE MAYO 101;393;419;430
2;1;118;ESCUELA EP N°50;NECOCHEA Y RICCHIERI;393;435;441
2;1;118;ESCUELA EST N°4;RICCHIERI Y NECOCHEA;393;448;457
province;section;town;name;address;borough;startBoard;endBoard
2;1;118;ESCUELA EP N°13;PASO Y GARCIA LORCA;393;373;379
2;1;118;COLEGIO NUESTRA SRA.DE FATIMA;H.YRIGOYEN 1661;393;458;469
2;1;118;ESCUELA SANTA JUANA DE ARCO;PELLEGRINI 4357;393;470;473
2;1;118;ESCUELA EP N°51;RICCHIERI Y NECOCHEA;393;474;480
2;1;118;JARDIN DE INFANTES N°912;CAXARAVILLE 4012;393;481;483
2;1;118;ESCUELA MODELO PROYECTO XXI;SAAVEDRA 3848;393;392;394
2;1;118;ESC.CRIST.EVANG.BAUT.ARGENTINA;AV.ITALIA 4251;393;442;447
2;1;118;INSTITUTO MODELO ROYECTO XXI;SAAVEDRA 3848;393;431;434
2;1;118;ESCUELA EP N°21/EES N°19;LAS MALVINAS 7216;394;484;493
2;1;118;ESC.SAGRADO CORAZON DE JESUS;LEANDRO N.ALEM 7226;394;494;501
2;1;118;INSTITUTO S.M.GARICOITS;SAN MIGUEL GARICOITS 1820;394;614;617
2;1;118;ESCUELA ES N°9;RIO NEGRO 10076;394;502;510
2;1;118;ESCUELA EP N°30/ESB N°2;METZIG 1652;394;511;519
2;1;118;ESCUELA EP N°34/ES N°23;CHURRUCA 9711;394;524;536
2;1;118;ESCUELA EP N°35;EL PARQUE Y SAN LUIS;394;537;548
2;1;118;ESCUELA EP N°36;IGUAZU 10494;394;549;558
2;1;118;ESCUELA EP N°41/ESB N°13;PTO.ARGENTINO 2208;394;559;572
2;1;118;COLEGIO SAN JOSE;RUTA 8 N°10046 KM 22;394;578;582
2;1;118;JARDIN DE INF.SAN M.GARICOITS;PANAMA 6184;394;610;611
2;1;118;JARDIN DE INFANTES EL PINITO;SOLDADO CABALLERO 8333;394;612;613
2;1;118;ESCUELA EP N°22/ES N°19 ANEXO;GRAL.LOPEZ 1594;394;583;588
